OTUID	IMM_g1.1	IMM_g1.2	IMM_g1.3	NIMM_g1.1	NIMM_g1.2	NIMM_g1.3	IMM_g2.1	IMM_g2.2	IMM_g2.3	NIMM_g2.1	NIMM_g2.2	NIMM_g2.3	F1.1	F1.10	F1.11	F1.12	F1.13	F1.14	F1.15	F1.16	F1.17	F1.18	F1.19	F1.2	F1.20	F1.21	F1.22	F1.3	F1.4	F1.5	F1.6	F1.7	F1.8	F1.9	F11.1	F11.10	F11.11	F11.2	F11.3	F11.4	F11.5	F11.6	F11.7	F11.8	F11.9	F2.1	F2.2	F2.3	F2.4	F2.5	F3.1	F3.10	F3.11	F3.12	F3.2	F3.4	F3.5	F3.6	F3.7	F3.8	F3.9	F4.1	F4.2	F4.3	F4.4	F4.5	F8.1	F8.10	F8.11	F8.12	F8.13	F8.14	F8.15	F8.16	F8.17	F8.18	F8.19	F8.2	F8.20	F8.21	F8.22	F8.24	F8.27	F8.28	F8.29	F8.3	F8.30	F8.31	F8.32	F8.33	F8.34	F8.35	F8.36	F8.37	F8.38	F8.39	F8.4	F8.40	F8.41	F8.5	F8.6	F8.7	F8.8	F8.9	h1.2.3.1	h1.2.3.2	h1.2.3.3	h3.4.5.1	h3.4.5.2	h3.4.5.3
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__uncultured	0	0	14	240	359	373	25	11	0	293	348	376	0	0	0	180	21	0	0	37	231	334	32	0	31	24	0	0	0	0	0	0	8	0	1135	74	298	924	1148	616	462	0	0	1331	0	14	0	51	457	7	1108	261	217	219	0	0	0	0	197	82	288	5	0	38	7	6	0	0	0	4	0	0	0	10	0	351	190	0	0	79	313	96	0	0	821	4	814	731	2117	220	40	55	0	0	106	7	21	0	16	0	0	0	0	0	33	37	28	49	98	72
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus	127	152	170	68	84	77	109	132	112	110	132	171	71	68	40	91	134	245	40	228	121	221	50	22	38	48	49	33	41	21	6	46	0	6	75	43	84	99	119	37	71	150	29	74	20	38	25	120	14	45	179	28	22	291	37	298	50	324	69	57	78	0	59	146	193	129	53	79	74	130	15	29	50	41	243	122	153	28	392	21	237	111	260	207	89	91	244	153	37	18	118	60	135	198	457	37	46	61	34	17	175	16	34	39	0	0	0	6	3	7
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3106	3641	3500	369	400	377
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	192	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	48	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1473	1841	1766	2264	2605	2525
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1317	1665	1529	5345	5638	5882
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	0	0	0	81	101	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	60	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1837	1590	1397	1411	1171	1500
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	116	155	162	298	336	373	70	83	62	42	50	37	794	191	132	36	23	30	22	20	25	24	37	200	38	16	0	495	249	367	129	89	283	10	70	41	47	64	52	35	37	8	11	49	17	180	413	60	432	103	51	229	98	419	165	259	13	202	35	8	339	194	9	151	7	54	0	4	7	0	0	0	69	41	234	19	11	27	23	197	22	205	9	3	65	56	67	142	279	99	12	36	14	21	13	0	113	7	15	7	17	130	3	6	0	0	0	6	11	6
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lactonifactor	225	288	197	0	0	0	625	567	361	0	0	0	0	632	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	143	88	41	68	157	0	448	197	268	321	390	0	385	547	0	0	72	198	32	0	0	0	91	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	456	0	0	81	401	323	29	342	0	0	0	12	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus	164	164	178	44	36	55	229	252	195	0	0	0	0	537	201	76	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	182	7	0	0	0	0	0	0	0	0	0	0	0	156	0	198	509	72	0	550	313	0	0	436	181	0	0	0	0	305	235	323	191	190	0	464	342	32	0	124	152	79	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	400	48	50	55	41	57	36
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia	98	0	0	45	85	80	27	0	25	113	174	159	258	0	0	0	35	0	70	124	195	90	222	0	335	188	128	0	34	0	0	0	0	0	0	270	37	0	78	140	116	0	149	96	0	19	0	0	29	11	89	23	0	64	87	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	17	0	85	39	0	146	0	128	179	0	0	399	0	118	405	407	305	482	401	255	0	123	333	0	0	7	0	0	0	80	68	140	0	71
