OTUID	IMM_g1.1	IMM_g1.2	IMM_g1.3	NIMM_g1.1	NIMM_g1.2	NIMM_g1.3	IMM_g2.1	IMM_g2.2	IMM_g2.3	NIMM_g2.1	NIMM_g2.2	NIMM_g2.3	F1.1	F1.10	F1.11	F1.12	F1.13	F1.14	F1.15	F1.16	F1.17	F1.18	F1.19	F1.2	F1.20	F1.21	F1.22	F1.3	F1.4	F1.5	F1.6	F1.7	F1.8	F1.9	F11.1	F11.10	F11.11	F11.2	F11.3	F11.4	F11.5	F11.6	F11.7	F11.8	F11.9	F2.1	F2.2	F2.3	F2.4	F2.5	F3.1	F3.10	F3.11	F3.12	F3.2	F3.4	F3.5	F3.6	F3.7	F3.8	F3.9	F4.1	F4.2	F4.3	F4.4	F4.5	F8.1	F8.10	F8.11	F8.12	F8.13	F8.14	F8.15	F8.16	F8.17	F8.18	F8.19	F8.2	F8.20	F8.21	F8.22	F8.24	F8.27	F8.28	F8.29	F8.3	F8.30	F8.31	F8.32	F8.33	F8.34	F8.35	F8.36	F8.37	F8.38	F8.39	F8.4	F8.40	F8.41	F8.5	F8.6	F8.7	F8.8	F8.9	h1.2.3.1	h1.2.3.2	h1.2.3.3	h3.4.5.1	h3.4.5.2	h3.4.5.3	taxonomy
4732c65c9a6789a00bad4ed657259c6c	38	102	67	0	0	32	56	85	57	0	0	0	20320	68	43	0	0	17	0	43	0	0	0	2222	76	0	30	7820	32475	35566	21462	0	0	36	0	0	49	120	54	0	0	52	59	27	81	5115	6560	4358	22483	5636	0	60	60	0	0	62	64	17	47	0	101	87	0	87	83	0	53	125	64	0	0	94	58	0	60	16	0	0	0	69	48	52	0	87	50	77	44	0	41	81	0	0	77	0	69	0	0	58	0	0	51	0	68	0	0	0	39	716	774	634	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
38758fd481e4748b4179c6b97557a667	1310	1533	1796	1924	2373	2709	607	669	515	2867	2925	3129	0	701	68	91	151	60	664	2641	4127	2372	1928	22	1937	1807	2106	37	7242	4271	2167	60	684	30	1142	2375	1081	1007	1396	923	2829	1654	2197	1716	242	2092	0	442	376	299	2131	742	505	4073	2832	310	95	3119	2579	1236	1265	120	168	184	144	212	28	70	512	48	41	195	119	46	478	1225	555	46	10476	4540	1791	1635	2561	897	3116	144	1346	2235	1225	1508	2780	2876	2774	2900	2868	2415	191	1710	2343	114	306	237	49	92	80	64	84	83	60	56	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes
3ba0beaa1822142852f15745f4070ec7	792	987	924	1024	1264	1506	1525	1478	1394	2133	2207	2802	624	364	64	1171	995	813	3397	4308	4837	516	1835	275	921	172	1227	304	188	53	56	145	348	218	2548	2885	2440	4065	2566	2235	2980	2018	2982	2128	49	206	532	149	219	59	2857	347	1144	330	176	382	284	138	848	781	2401	1551	206	1849	817	1366	104	1186	1406	771	266	442	765	1444	1636	1224	1262	722	1192	628	1060	1218	2079	1691	2480	511	2426	1793	6632	3747	1723	2128	1592	2997	3692	2505	1318	1128	2312	473	290	420	57	887	174	212	190	198	238	184	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__UBA1819
8bbbd83b99bc2d0087f12b0312aec525	37	58	21	431	560	535	514	469	338	770	719	829	2382	358	72	118	531	234	746	715	661	558	50	1219	73	0	50	3792	1559	763	243	45	92	62	6650	1184	3270	7483	4493	2713	3768	358	2746	4387	30	569	2948	6309	296	1180	1505	102	157	67	50	90	75	57	62	54	1573	52	98	73	88	133	44	87	2541	47	39	54	131	55	1454	3159	811	39	1077	1329	5021	4382	1382	569	7371	116	4649	5619	2042	1941	3468	4554	1769	1882	2071	1894	80	725	5888	114	855	229	0	117	33	29	46	64	30	32	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
3cfee8700c0cf9499323ddf8ccfe783e	573	671	451	700	754	525	1042	1010	565	733	455	509	1475	246	224	182	277	115	1635	2559	4683	3918	864	1190	624	493	305	299	890	1644	510	376	641	199	1766	2386	1265	1297	1712	1498	2156	1125	2786	2104	196	1252	1055	2342	781	649	2071	3242	3145	2552	660	675	172	982	3883	4558	34	681	1112	1376	1101	655	129	411	1369	3369	563	1178	666	497	1868	1399	1834	255	206	54	557	2833	780	236	1979	405	1303	2576	702	2362	2051	1535	1533	1584	2416	1555	2346	256	1974	774	2912	1444	151	518	552	387	395	132	140	97	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Sellimonas
852215416da660e6e960a2b5a8dc2355	344	335	253	309	437	247	69	91	42	610	412	361	0	0	0	50	106	0	4813	4829	2450	4806	1844	0	5756	5939	6890	0	0	98	0	0	0	0	2206	1023	2883	3819	1080	3855	570	1435	340	2845	75	0	0	0	0	0	3952	0	0	106	0	108	0	33	53	0	0	0	42	0	0	0	0	0	165	0	0	126	0	0	0	58	49	0	1871	0	214	90	14208	13158	5572	0	5751	3084	0	78	3715	836	3238	1098	2095	136	0	8552	0	0	0	73	103	76	0	0	0	0	0	0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group
5fac3c479bed18bbbf9e68bc370b693a	298	207	152	249	373	353	1376	1332	1173	342	321	423	165	0	1314	0	0	4044	0	169	0	1493	140	80	589	1189	3694	111	0	0	0	4545	63	14299	0	0	0	95	1399	126	81	0	112	0	2297	0	0	0	0	0	171	1512	2731	25	514	6082	21676	290	128	27	1488	36	218	1264	3508	3068	10433	581	0	1794	350	207	1319	4095	171	111	437	1357	66	62	509	195	0	0	451	0	1024	1808	61	0	181	83	123	513	1600	0	111	0	0	375	107	210	9458	488	138	126	174	0	0	0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus
66c63063d36724a7d8e30cdfa7ad513c	6053	8849	9298	13	0	24	172	177	181	0	12	42	92	45	8562	41	13	16	0	31	0	0	413	35	1010	1251	1357	113	0	49	24	7794	201	37	0	0	0	23	0	33	0	53	0	0	23817	528	0	386	63	44	57	52	10	0	12595	53	18	17138	27	33	19	62	33	22	17	14	22	34	22	85	0	31	62	35	60	21	0	0	51	20	21	16	37	21	22	184	0	0	35	20	36	24	27	0	57	38	167	43	0	58	32	53	114	24	2665	3966	3918	1661	2389	2407	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium
df1922f82ed748033cc021e746e8d38d	988	1213	1338	109	152	119	17	34	32	25	28	0	38	4227	167	3239	5428	755	25	27	34	26	23	11	43	42	24	38	36	29	34	92	4113	4758	0	0	27	66	37	30	28	17	42	8	204	15	34	15	27	45	35	13076	17259	9905	1280	4939	3981	63	1355	0	15080	34	23	40	54	23	21	52	39	0	30	46	36	21	27	14	0	13	0	26	26	31	26	30	32	32	30	0	20	37	25	32	36	31	39	20	0	22	0	4812	16160	46	22	11	49	30	33	20	16	32	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Epulopiscium
908c4affc140da75113954a4d1eef19c	55	152	56	9	0	0	0	0	119	0	0	0	0	115	0	17	0	0	0	0	0	0	0	0	0	0	0	0	25	38251	54315	0	0	0	16	18	0	164	0	0	0	45	0	0	82	0	0	0	0	140	0	45	0	0	15	148	0	13	0	0	141	58	0	119	0	0	0	193	0	22	14	160	64	0	48	0	0	0	26	0	0	0	67	138	0	42	32	0	0	135	0	0	151	0	69	0	12	57	15	44	0	0	74	27	2507	1666	1761	2323	2384	1647	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia; s__Blautia_faecis
