sample_biological_replicate	Sample Name	Run	Sample Name	Library Name	SampleID	Gender	SampleNumber	CageID	Run	MouseID	Generation	AgeWeeks	Strain	GroupGenAge	GroupAge	GroupGeneration	Group	Housing	Description
fecal sample from mouse microbiota-associated C57BL/6NTac mice 12	54.4	SRR7722097	54.4	54_4	54.04.00	F	321	10	4	25	F1	10-Nov	C57BL6/NTac	B_F1_10-11	B_10-11	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 13	58.4	SRR7722102	58.4	58_4	58.04.00	F	325	2	4	12	P	10-Nov	C57BL6/NTac	B_P_10-11	B_10-11	B_P	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 31	60.2	SRR7722138	60.2	60_2	60.02.00	M	147	7	2	16	F1	17-18	C57BL6/NTac	B_F1_17-18	B_17-18	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 32	67.4	SRR7722140	67.4	67_4	67.04.00	F	333	1	4	10	P	17-18	C57BL6/NTac	B_P_17-18	B_17-18	B_P	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 14	71.2	SRR7722094	71.2	71_2	71.02.00	F	157	14	2	38	F1	10-Nov	C57BL6/NTac	B_F1_10-11	B_10-11	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 33	72.1	SRR7722162	72.1	72_1	72.01.00	F	69	14	1	37	F1	17-18	C57BL6/NTac	B_F1_17-18	B_17-18	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 34	75.1	SRR7722163	75.1	75_1	75.01.00	M	70	11	1	27	F1	17-18	C57BL6/NTac	B_F1_17-18	B_17-18	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 35	79.2	SRR7722157	79.2	79_2	79.02.00	F	162	14	2	36	F1	17-18	C57BL6/NTac	B_F1_17-18	B_17-18	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 36	82.2	SRR7722158	82.2	82_2	82.02.00	M	165	11	2	30	F1	17-18	C57BL6/NTac	B_F1_17-18	B_17-18	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 15	82.4	SRR7722078	82.4	82_4	82.04.00	F	345	98	4	39	F1	10-Nov	C57BL6/NTac	B_F1_10-11	B_10-11	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 16	85.4	SRR7722083	85.4	85_4	85.04.00	F	348	8	4	20	F1	10-Nov	C57BL6/NTac	B_F1_10-11	B_10-11	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 37	86.3	SRR7722160	86.3	86_3	86.03.00	F	260	98	3	41	F1	17-18	C57BL6/NTac	B_F1_17-18	B_17-18	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 38	89.1	SRR7722186	89.1	89_1	89.01.00	M	85	7	1	15	F1	17-18	C57BL6/NTac	B_F1_17-18	B_17-18	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 17	89.3	SRR7722082	89.3	89_3	89.03.00	F	265	1	3	9	P	10-Nov	C57BL6/NTac	B_P_10-11	B_10-11	B_P	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 18	89.4	SRR7722075	89.4	89_4	89.04.00	F	352	8	4	19	F1	10-Nov	C57BL6/NTac	B_F1_10-11	B_10-11	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 19	94.4	SRR7722181	94.4	94_4	94.04.00	M	356	13	4	34	F1	10-Nov	C57BL6/NTac	B_F1_10-11	B_10-11	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated SW mice 1	1.3	SRR7722093	1.3	1_3	1.03	F	181	20	3	26	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 2	5.4	SRR7722088	5.4	5_4	5.04	F	274	25	4	40	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 3	6.1	SRR7722087	6.1	6_1	6.01	F	6	23	1	48	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 4	9.4	SRR7722084	9.4	9_4	9.04	M	278	22	4	41	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 5	10.3	SRR7722131	10.3	10_3	10.03	F	190	21	3	35	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 27	14.2	SRR7722173	14.2	14_2	14.02	F	102	3	2	1	P	17-18	Tac:SW	C_P_17-18	C_17-18	C_P	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 6	15.1	SRR7722133	15.1	15_1	15.01	F	14	24	1	30	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 28	21.2	SRR7722147	21.2	21_2	21.02	F	109	4	2	3	P	17-18	Tac:SW	C_P_17-18	C_17-18	C_P	C	Isolator	C_Isolator
