OTU_ID	SRR7722074	SRR7722075	SRR7722076	SRR7722077	SRR7722078	SRR7722079	SRR7722080	SRR7722081	SRR7722082	SRR7722083	SRR7722084	SRR7722085	SRR7722086	SRR7722087	SRR7722088	SRR7722089	SRR7722090	SRR7722091	SRR7722092	SRR7722093	SRR7722094	SRR7722095	SRR7722096	SRR7722097	SRR7722098	SRR7722099	SRR7722100	SRR7722101	SRR7722102	SRR7722103	SRR7722104	SRR7722105	SRR7722106	SRR7722107	SRR7722108	SRR7722109	SRR7722110	SRR7722111	SRR7722112	SRR7722113	SRR7722114	SRR7722115	SRR7722116	SRR7722117	SRR7722118	SRR7722119	SRR7722120	SRR7722121	SRR7722122	SRR7722123	SRR7722124	SRR7722125	SRR7722126	SRR7722127	SRR7722128	SRR7722129	SRR7722130	SRR7722131	SRR7722132	SRR7722133	SRR7722134	SRR7722135	SRR7722136	SRR7722137	SRR7722138	SRR7722139	SRR7722140	SRR7722141	SRR7722142	SRR7722143	SRR7722144	SRR7722145	SRR7722146	SRR7722147	SRR7722148	SRR7722149	SRR7722150	SRR7722151	SRR7722152	SRR7722153	SRR7722154	SRR7722155	SRR7722156	SRR7722157	SRR7722158	SRR7722159	SRR7722160	SRR7722161	SRR7722162	SRR7722163	SRR7722164	SRR7722165	SRR7722166	SRR7722167	SRR7722168	SRR7722169	SRR7722170	SRR7722171	SRR7722172	SRR7722173	SRR7722174	SRR7722175	SRR7722176	SRR7722177	SRR7722178	SRR7722179	SRR7722180	SRR7722181	SRR7722182	SRR7722183	SRR7722184	SRR7722185	SRR7722186	SRR7722187	SRR7722188	SRR7722189	SRR7722190	taxonomy
d6d3c46bcd995f7cc6d3917c4f69dab6	0	151	0	0	163	0	0	114	882	144	217	0	54	71	213	0	45	0	255	46	582	159	0	66	0	225	0	158	0	360	854	0	0	0	54	317	0	0	686	429	257	0	252	514	103	501	0	0	0	0	0	0	98	181	11	0	0	0	56	5	589	41	104	38	165	0	125	115	71	388	0	0	226	593	0	0	326	177	55	0	0	113	89	44	93	114	324	138	21	36	0	0	185	61	358	364	0	0	0	0	0	106	0	0	181	127	366	104	110	169	0	147	64	163	179	0	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae
55658e0d35b70e0230c10ead738d4417	51	461	0	0	0	562	0	0	0	958	106	0	0	0	0	0	0	0	0	0	562	922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516	0	682	0	0	1827	0	0	260	167	0	0	0	0	240	133	0	0	0	0	0	0	0	0	244	0	0	0	2206	0	0	0	0	0	297	0	74	213	336	0	0	0	0	0	642	0	0	0	0	0	0	0	0	0	0	0	1600	0	0	0	226	0	0	0	0	0	229	0	0	0	238	0	760	0	0	0	0	0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
da0dec99c99f680bd59a8de705609ae7	0	0	1241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3008	0	0	0	0	0	0	0	0	4121	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	653	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
7b50b9c9364148b9e7a8017d795cbe86	0	23	0	162	56	0	0	0	86	83	0	105	0	0	52	271	0	336	240	0	146	61	0	51	218	241	164	0	222	42	0	0	1481	466	0	92	10	116	142	54	0	0	239	20	26	154	192	239	29	33	395	0	0	36	16	270	183	38	0	0	0	0	70	0	0	107	66	0	0	76	0	0	30	32	295	27	143	81	0	739	708	0	72	39	13	0	103	0	0	0	200	0	86	84	164	0	210	1030	0	32	118	91	138	1383	71	155	0	153	50	393	97	0	0	27	0	193	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
075260686646f8f75ccd164e7fb64532	0	0	0	0	0	17	0	143	714	0	55	0	344	156	36	0	113	0	77	59	0	45	0	0	0	135	0	70	53	292	0	0	0	0	0	152	67	0	98	462	398	60	187	315	297	42	0	82	49	165	0	0	338	42	143	0	0	40	34	183	0	214	101	358	66	0	58	137	565	212	258	53	190	45	0	202	301	274	481	0	0	416	0	250	176	182	338	165	180	179	0	411	230	108	166	169	0	0	0	120	0	70	0	0	125	32	0	0	108	144	0	130	766	114	458	0	0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
4c2fdb515402a78ef9ac728a272301a8	0	0	954	1394	0	0	2505	0	0	0	0	304	0	0	0	221	0	0	0	0	0	0	1116	0	0	0	0	0	0	0	0	0	1235	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	0	568	0	0	0	0	667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	817	0	0	0	0	433	0	0	0	0	0	0	0	0	0	0	616	0	0	0	0	0	270	0	39	0	1960	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Subdoligranulum
634dc48c432fa177ac8963546d6bbdcc	0	235	0	0	0	338	0	0	0	520	29	0	0	0	609	0	0	0	0	0	0	1055	0	0	0	0	0	0	0	0	0	0	0	0	1054	0	0	0	0	0	0	1212	0	0	1587	0	0	64	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	240	0	0	18	3784	0	0	0	86	0	0	0	0	0	166	0	0	0	0	0	187	48	0	0	0	0	0	0	0	0	0	0	845	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	714	0	0	0	0	0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
262429c937b1d4ee5cab8899d8ef2d9b	0	0	0	0	0	0	0	125	0	0	0	0	90	500	0	0	147	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	1508	0	0	875	0	586	0	0	549	0	489	0	0	0	1523	0	0	207	0	0	0	0	0	7	6	0	0	97	0	0	0	0	0	86	843	162	0	0	0	0	0	0	0	490	0	0	95	0	0	0	20	1416	563	237	33	0	163	107	0	1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
4ea881cd1bb7fff4085b74f85de4b420	75	56	0	0	449	0	0	27	1965	18	0	0	0	0	53	0	0	0	554	0	100	106	0	183	0	90	0	0	118	133	80	0	0	0	24	0	0	0	0	1180	0	11	689	19	38	233	0	316	64	0	0	0	0	21	0	0	0	0	0	0	0	0	65	98	1016	0	106	679	0	39	0	31	27	13	0	347	288	689	0	0	0	0	98	360	130	0	0	0	0	0	0	0	408	562	0	28	0	0	0	28	0	26	0	0	13	37	0	216	54	46	0	44	0	14	58	0	0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
45443f458cc9b51242e7a53cfc48851e	36	128	0	0	0	0	0	90	746	110	188	0	0	65	177	0	38	0	168	0	346	0	0	85	0	189	0	193	0	229	553	0	0	0	0	234	76	0	596	315	311	79	152	484	0	365	0	162	0	0	0	0	88	155	0	0	0	35	0	0	446	63	134	0	0	0	94	0	79	335	37	41	207	361	0	0	184	122	83	0	0	113	99	0	81	104	293	166	28	0	0	4	163	73	363	155	0	0	0	101	0	96	0	0	140	0	293	94	91	0	0	136	91	142	0	0	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae
dda53e8bb3e63a18b00c15bd46f85312	0	0	0	0	0	0	0	173	0	0	129	0	32	295	98	0	24	0	75	114	0	94	0	48	0	215	0	192	0	85	203	0	0	0	52	120	200	0	102	319	603	71	47	357	196	105	0	96	38	339	0	0	111	36	94	0	0	58	40	33	301	34	561	105	0	0	30	48	362	105	80	95	621	43	0	0	0	60	34	0	0	461	89	0	63	424	125	384	37	69	0	374	647	67	60	56	0	0	0	94	0	49	0	0	0	35	0	0	0	67	0	131	84	506	46	0	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
7ef573a5127d3e61397ca0d786bd1ce8	4	217	0	0	185	136	0	0	0	244	51	0	0	0	222	0	0	0	0	0	421	79	0	36	0	0	0	0	61	641	572	0	0	0	112	0	0	0	0	499	0	84	0	0	911	0	0	319	263	0	0	0	0	60	25	0	0	0	23	0	0	0	69	90	1609	0	30	704	0	0	0	27	0	277	0	10	248	206	0	0	0	0	4	182	43	0	0	0	0	0	0	0	0	103	0	1065	0	0	0	262	0	34	0	0	18	258	0	0	49	93	0	253	0	0	11	0	0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
dbd96f90578da0ecf3119e83fdebb11f	26	0	0	0	58	0	0	146	169	0	109	0	101	555	67	0	72	0	81	0	38	56	0	62	0	249	0	291	78	134	366	0	0	0	27	73	80	0	111	289	300	225	186	181	228	63	0	156	31	224	0	0	191	20	51	0	0	0	0	53	403	205	127	115	0	0	30	0	371	56	90	76	412	192	0	36	79	108	63	0	0	700	54	49	79	121	55	273	43	77	0	393	391	55	67	52	0	0	0	121	0	88	0	0	30	57	64	53	52	114	0	86	58	19	119	0	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinifilaceae; g__Odoribacter; s__uncultured_bacterium
5d28e1866f15ec811f12d76596dc4f8f	0	0	0	650	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	633	0	0	0	844	0	0	0	0	0	0	0	0	0	0	0	0	774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	0	0	0	0	0	1888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	1607	0	0	647	0	0	1395	0	0	0	0	0	0	317	0	0	0	0	0	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides
efed9fa6a79cdd4861cc9df0cb1c9574	0	0	63	564	0	0	234	0	0	0	0	206	0	0	0	300	0	341	0	0	0	0	728	0	192	0	318	0	0	0	0	230	934	333	0	0	0	86	0	0	0	0	0	0	0	0	55	0	0	0	273	35	0	0	0	289	133	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	194	0	0	0	0	475	422	0	0	0	0	0	0	0	0	0	774	0	0	0	0	0	317	537	208	0	553	0	246	490	0	0	0	0	0	0	118	0	0	0	0	97	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
